author,poem_name,TOTAL_WORD_COUNT,UNIQUE_WORD_COUNT,TYPE_TOKEN_RATIO,AVG_WORD_LENGTH,STD_WORD_LENGTH,HAPAX_LEGOMENA,FUNCTION_WORD_FREQ,STOP_WORD_RATIO,CHAR_UNIGRAM_ENTROPY,CHAR_BIGRAM_ENTROPY,CHAR_TRIGRAM_ENTROPY,CHAR_DIVERSITY,RARE_CHAR_RATIO,AVG_SYLLABLES_PER_WORD,AVG_LINE_LENGTH_WORDS,AVG_STANZA_LENGTH,TOTAL_LINES,ANAPHORA_SCORE,EPIPHORA_SCORE,ENJAMBMENT_RATIO,ESTIMATED_NOUN_COUNT,ESTIMATED_VERB_COUNT,NOUN_VERB_RATIO,READABILITY_SCORE,Emotion,Sentiment
kapilar,inna40,18,16,0.888888889,6.222222222,1.812167381,15,0,0.0,4.337733254,6.111980663,6.508483499,25,0.151079137,3.5,4.5,4,4,0.0,0.25,0.0,0,0,0.0,64.0,Sad,Negative
manickavasagar,அச்சோப் பதிகம்,196,160,0.816326531,9.418367347,2.278665333,149,0,0.0,4.651981921,7.66200183,9.168938362,38,0.175302663,5.158163265,4.0,49,49,0.020408163,0.081632653,0.755102041,9,10,0.9,69.84615385,Devotion,Positive
manickavasagar,அடைக்கலப் பத்து - பக்குவ நிண்ணயம்,180,148,0.822222222,9.338888889,4.01409169,143,0,0.0,4.584561879,7.463070343,9.039443729,35,0.188829787,5.061111111,4.390243902,41,41,0.0,0.024390244,0.756097561,26,3,8.666666667,67.27272727,Devotion,Positive
manickavasagar,அதிசியப் பத்து - முத்தி இலக்கணம்,223,178,0.798206278,8.228699552,2.989770544,170,0,0.004484305,4.60889158,7.634470429,9.200044616,37,0.174289841,4.587443946,5.43902439,41,41,0.024390244,0.048780488,0.756097561,5,2,2.5,59.45454545,Devotion,Positive
manickavasagar,அன்னைப் பத்து - ஆத்தும பூரணம்,161,111,0.689440994,7.260869565,2.050667939,95,0,0.0,4.439369647,7.167820532,8.402427648,35,0.201630838,4.037267081,3.926829268,41,41,0.243902439,0.024390244,0.756097561,5,0,0.0,70.72727273,Devotion,Positive
manickavasagar,அற்புதப்பத்து - அனுபவமாற்றாமை,241,204,0.846473029,7.912863071,2.044291845,189,0,0.0,4.602444034,7.671288838,9.284408921,37,0.178126442,4.365145228,5.87804878,41,41,0.0,0.097560976,0.756097561,7,0,0.0,56.18181818,Devotion,Positive
manickavasagar,ஆசைப்பத்து - ஆத்தும இலக்கணம்,208,175,0.841346154,7.913461538,3.054349285,166,1,0.004807692,4.622531851,7.618854233,9.125079113,36,0.174052322,4.302884615,5.073170732,41,41,0.0,0.048780488,0.756097561,4,13,0.307692308,62.18181818,Devotion,Positive
manickavasagar,ஆனந்தமாலை - சிவானுபவ விருப்பம்,169,163,0.964497041,7.284023669,2.553993119,157,0,0.0,4.591364623,7.608890496,9.156713098,35,0.174805379,3.946745562,5.827586207,29,29,0.034482759,0.0,0.75862069,8,6,1.333333333,57.75,Happy,Positive
manickavasagar,எண்ணப்பதிகம் - ஒழியா இன்பத்துவகை,155,144,0.929032258,7.174193548,2.444607989,136,0,0.0,4.569381423,7.459867851,8.965643647,36,0.166014096,3.935483871,6.2,25,25,0.04,0.04,0.8,8,5,1.6,48.33333333,Devotion,Positive
manickavasagar,குயிற்பத்து - ஆத்தும இரக்கம்,237,212,0.894514768,6.738396624,1.948471857,201,0,0.0,4.615971219,7.700239487,9.348569152,38,0.171073934,3.670886076,5.780487805,41,41,0.0,0.048780488,0.756097561,9,1,9.0,56.90909091,Devotion,Positive
manickavasagar,குலாப் பத்து - அனுபவம் இடையீடுபடாமை,163,135,0.828220859,9.17791411,2.325954505,131,0,0.0,4.549786758,7.442957287,8.904749456,38,0.193087008,4.889570552,3.975609756,41,41,0.0,0.024390244,0.756097561,6,1,6.0,70.36363636,Devotion,Positive
